"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Apr 21 07:46:04 CST 2024","Sun Apr 21 07:46:04 CST 2024","199","chromium","uiBasics.spec.ts","Account Page","","","Open Home Page and Verify loggin",""
"passed","Sun Apr 21 07:46:39 CST 2024","Sun Apr 21 07:46:42 CST 2024","2952","chromium","uiBasics.spec.ts","Account Page > Account Page","","","Verify login and register is visible",""
